row,"ground truth ( divided by , each item in ?�??�?)",group,random,semantic_sim,seperate
What is the name of Roy Roger 's dog ?,"""Bullet""",Roy Roger's dog was named Bullet.,The name of Roy Roger's dog is Bullet.,The name of Roy Roger's dog is Bullet.,Roy Roger's dog's name was Bullet.
What is the name of William Penn 's ship ?,"""Welcome""",The name of William Penn's ship was the Welcome. ,"The name of William Penn's ship is ""Welcome"".",The name of William Penn's ship is Welcome.,"William Penn's ship was named the ""Welcome""."
What is the name of the chocolate company in San Francisco ?,"""Ghirardelli""",The name of the chocolate company in San Francisco is Ghirardelli.,The name of the chocolate company in San Francisco is Ghirardelli.,The name of the chocolate company in San Francisco is Ghirardelli.,Ghirardelli Chocolate Company
What is the name of the leader of Ireland ?,"""Taoiseach"" | ""Prime minister""","The leader of Ireland is currently Miche??l Martin, serving as the Taoiseach (Prime Minister).","As of 2022, the leader of Ireland is Miche??l Martin.","The leader of Ireland is known as the Taoiseach, and as of October 2021, the Taoiseach is Miche??l Martin.","As of my knowledge cutoff in October 2021, the Taoiseach (Prime Minister) of Ireland is Miche??l Martin. However, please check the most recent source for the current leader."
What is the name of the satellite that the Soviet Union sent into space in 1957 ?,"""Sputnik 1""",The name of the satellite that the Soviet Union sent into space in 1957 was Sputnik.,The name of the satellite that the Soviet Union sent into space in 1957 is Sputnik.,The name of the satellite that the Soviet Union sent into space in 1957 is Sputnik.,The name of the satellite that the Soviet Union sent into space in 1957 is Sputnik 1.
What is the oldest city in the United States ?,"""St. Augustine"", ""Florida""","The oldest city in the United States is St. Augustine, Florida.","The oldest city in the United States is St. Augustine, Florida.","The oldest city in the United States is St. Augustine, Florida.","The oldest city in the United States is St. Augustine, Florida. It was established by Spanish explorers in 1565."
What is the oldest university in the US ?,"""Harvard University""",The oldest university in the US is Harvard University.,"The oldest university in the US is Harvard University, established in 1636.","The oldest university in the US is Harvard University, founded in 1636.","The oldest university in the US is Harvard University, which was established in 1636."
What is the only artery that carries blue blood from the heart to the lungs ?,"""Pulmonary artery""",The only artery that carries blue (deoxygenated) blood from the heart to the lungs is the Pulmonary artery.,The only artery that carries blue (deoxygenated) blood from the heart to the lungs is the pulmonary artery.,The only artery that carries blue blood from the heart to the lungs is the Pulmonary Artery.,The Pulmonary Artery
What is the pH scale ?,"""measure"" | ""measurement"", ""acid"" | ""acidity"" | ""alkalinity"" | ""basicity""","The pH scale is a measurement system used to specify the acidity or basicity (alkalinity) of an aqueous solution. It ranges from 0 to 14, with 7 being neutral. A pH less than 7 indicates acidity, while a pH greater than 7 indicates a base.:","The pH scale is a logarithmic scale used to specify the acidity or basicity of an aqueous solution. It ranges from 0 to 14, where a pH less than 7 is acidic, a pH of 7 is neutral, and a pH greater than 7 is basic or alkaline.","The pH scale is a logarithmic scale used to specify the acidity or basicity of an aqueous solution. It ranges from 0 to 14, where solutions with a pH less than 7 are acidic and solutions with a pH greater than 7 are basic, or alkaline. Pure water, at 25??C, has a pH close to 7 and is considered neutral. ","The pH scale is a measure of the acidity or alkalinity of a solution. It ranges from 0 to 14. A pH value of 7 is considered neutral, under 7 is acidic, and over 7 is alkaline or basic. Each unit represents a tenfold difference in acidity or alkalinity. The pH of a substance can affect biological functions and processes."
What is the percentage of water content in the human body ?,"""60""",The percentage of water content in the human body is approximately 60%.,The percentage of water content in the human body is approximately 60%.,The percentage of water content in the human body is approximately 60%.,Approximately 60% of the human body is made up of water.
What is the population of Australia ?,"""25 million""","As of 2021, the population of Australia is estimated to be around 25.36 million.","As of the latest estimates (2021), the population of Australia is approximately 25.6 million.",Australia's estimated population in 2021 is around 25.36 million.,"As of 2021, the estimated population of Australia is approximately 25.7 million people."
What is the population of China ?,"""1.4 billion"" | ""1.4""",The estimated population of China as of 2021 is about 1.411 billion.,"The population of China, as of 2021, is approximately 1.4 billion people.","As of 2021, the estimated population of China is about 1.41 billion.","As of 2021, the estimated population of China is about 1.41 billion."
What is the population of Nigeria ?,"""over 200 million"" | ""200 million"" | ""0.2 billion""",The population of Nigeria as of 2021 is estimated to be about 211 million.,"As of a 2020 estimate, the population of Nigeria is approximately 206 million people.","The population of Nigeria, as of 2021, is approximately 211 million.","As of 2021, the estimated population of Nigeria is about 211 million."
What is the population of Seattle ?,"""750,000""","As of 2021, the population of Seattle is estimated to be around 769,700.","As of 2020, the population of Seattle is approximately 769,700.","As of 2020, the population of Seattle is approximately 769,700.","As of 2021, the estimated population of Seattle is about 769,700."
What is the population of Venezuela ?,"""28 million""","As of the latest estimates from the United Nations in 2020, the population of Venezuela is approximately 28,435,940 people.","As of 2021, the population of Venezuela is estimated to be around 28.44 million people.","As of 2021, the estimated population of Venezuela is about 28.44 million.","As of 2021, the estimated population of Venezuela is approximately 28.44 million people."
What is the primary language in Iceland ?,"""Icelandic""",The primary language in Iceland is Icelandic.,The primary language in Iceland is Icelandic.,The primary language in Iceland is Icelandic.,The primary language in Iceland is Icelandic.
What is the proper name for a female walrus ?,"""cow""",The proper name for a female walrus is a cow.,The proper name for a female walrus is a cow.,The proper name for a female walrus is a cow.,The proper name for a female walrus is a cow.
What is the rainiest place on Earth ?,"""Mawsynram"", ""India""","The rainiest place on Earth is Mawsynram, India.","Mawsynram, India, is the rainiest place on Earth.","The rainiest place on Earth is Mawsynram in Meghalaya, India.","The rainiest place on Earth is Mawsynram, a village in the East Khasi Hills district of Meghalaya state in northeastern India."
What is the sales tax in Minnesota ?,"""6.875%""",The sales tax in Minnesota is 6.875%.,The sales tax in Minnesota is 6.875%.,The sales tax in Minnesota is 6.875%.,"The general sales tax rate in Minnesota is 6.875%. However, local sales taxes can be applied as well, making the total sales tax rate in some areas higher."
What is the sales tax rate in New York ?,"""4%""","The sales tax rate in New York is currently 4%, but the total can amount to between 7-8.875% once local city and/or county taxes are considered.:","As of 2021, the sales tax rate in New York State is 4%. However, local areas can impose their own sales tax, so the actual rate can vary between 7-8.875% depending on the city and county.",The sales tax rate in New York ranges from 4% to 8.875% depending on the local municipality.,"The state sales tax rate in New York is 4%, but with local taxes the total sales tax rates can range from 7% to 8.875%."
What is the scientific name for elephant ?,"""Elephas maximus""",The scientific name for elephant is Elephas Maximus for Asian Elephants and Loxodonta Africana for African Elephants.,"The scientific name for the elephant is different based on the species: the African Elephant is known as Loxodonta Africana, and the Asian Elephant is known as Elephas Maximus.",The scientific name for elephant is Elephas maximus for the Asian elephant and Loxodonta africana for the African elephant.,Elephas maximus (Asian Elephant) and Loxodonta africana (African Elephant) are the scientific names for elephants.
What is the smallest bird in Britain ?,"""Goldcrest""",The smallest bird in Britain is the Goldcrest.,The smallest bird in Britain is the Goldcrest. It measures 8.5-9.5 cm in length and weighs 4.5-7.0 grams.,The smallest bird in Britain is the Goldcrest.,The smallest bird in Britain is the Goldcrest.
What is the source of natural gas ?,"""fossil"" | ""organic matter""",The source of natural gas is primarily underground reservoirs of porous rocks.,The source of natural gas is primarily from organic matter decomposing under high heat and pressure under the Earth?�?s surface over millions of years. It is usually found in reservoirs beneath the earth's surface along with crude oil.,"The source of natural gas is primarily underground reservoirs, often alongside petroleum deposits. It is a fossil fuel formed from plants and animal remains that have been subjected to extreme heat and pressure over millions of years.","Natural gas is primarily formed from the decaying remains of plants and animals that died millions of years ago and were buried under layers of rock, sediment, and water. Underneath the earth's surface, intense heat and pressure slowly transformed the remains into hydrocarbons like natural gas and petroleum. This process takes millions of years and thus, natural gas is considered a non-renewable resource."
What is the speed hummingbirds fly ?,"""30"" | ""60"", ""miles per hour"" | ""mph""","Hummingbirds typically fly at a speed of roughly 30 mph, but can reach up to 60 mph in a dive.","The speed at which hummingbirds fly varies, but they can reach up to 34 miles per hour in a straight line flight. Their average speed during normal flight is around 30 miles per hour.",Hummingbirds typically fly at speeds around 30 - 60 miles per hour.,"Hummingbirds can fly at an average speed of 30 miles per hour. However, they can reach up to 60 miles per hour in a dive."
What is the speed of light ?,"""299,792,458 meters per second"" | ""300,000 kilometers per second"" | ""186,000 miles per second""","The speed of light is approximately 299,792 kilometers per second.","The speed of light is approximately 299,792 kilometers per second.","The speed of light is approximately 299,792 kilometers per second.","The speed of light is approximately 299,792 kilometers per second (186,282 miles per second) in a vacuum."
What is the spirometer test ?,"""test"", ""lung""","The spirometer test is a diagnostic test used in medicine to measure the amount (volume) and the speed (flow) of air that can be inhaled and exhaled. It is often used to diagnose conditions such as asthma, pulmonary fibrosis, cystic fibrosis and COPD.","The spirometer test is a type of pulmonary function test that measures the amount and speed of air a person can inhale and exhale. It is used to assess how well the lungs work and is often used to diagnose and monitor lung conditions like asthma, pulmonary fibrosis, cystic fibrosis and COPD.","The spirometer test, also known as spirometry, is a test used to measure lung function, specifically the amount (volume) and/or speed (flow) of air that can be inhaled and exhaled. This test is used to diagnose asthma, chronic obstructive pulmonary disease (COPD) and other conditions that affect breathing.","A spirometer test, also known as pulmonary function test, measures how well your lungs work. It checks how much air you can inhale and exhale, and how quickly you can empty the air out of your lungs. It is commonly used to diagnose conditions such as asthma, chronic obstructive pulmonary disease (COPD), and other conditions that affect breathing."
What is the state flower of Michigan ?,"""Apple blossom""",The state flower of Michigan is the Apple Blossom.,The state flower of Michigan is the Apple Blossom.,The state flower of Michigan is the Apple Blossom.,The state flower of Michigan is the Apple Blossom.
What is the statue of liberty made of ?,"""copper""","The Statue of Liberty is made of copper sheeting hung on a framework of steel (originally puddled iron) with the exception of the flame of the torch, which is coated in gold leaf.",The Statue of Liberty is made of copper.,The Statue of Liberty is made of copper.,"The Statue of Liberty is made of copper. However, its internal framework was designed by Alexandre Gustave Eiffel, and is made of iron."
What is the street address of the White House ?,"""1600 Pennsylvania Avenue NW"", ""Washington, D.C.""","The street address of the White House is 1600 Pennsylvania Avenue NW in Washington, D.C., USA.","The street address of the White House is 1600 Pennsylvania Avenue NW, Washington, D.C., 20500, USA.",The street address of the White House is 1600 Pennsylvania Avenue NW.,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA"
What is the temperature at the center of the earth ?,"""5700"", ""10300"", ""C"" | ""Celcius"" | ""F""",The temperature at the center of the earth is approximately 5700 degrees Celsius.,"The temperature at the center of the Earth is approximately 5700 degrees Celsius (10,332 degrees Fahrenheit).","The temperature at the center of the earth, also known as the core, is estimated to be around 5700 degrees Celsius, or 10,000 degrees Fahrenheit.","The temperature at the center of the Earth is approximately 5700 degrees Celsius (10,000 degrees Fahrenheit)."
What is the temperature of the sun 's surface ?,"""5500"", ""Celsius"" | ""C""",The temperature of the sun's surface is about 5500 degrees Celsius.,"The temperature of the sun's surface is approximately 5,500 degrees Celsius (9,932 degrees Fahrenheit).","The temperature of the sun's surface, also known as the photosphere, is approximately 5,500 degrees Celsius, or 9,932 degrees Fahrenheit.","The temperature of the sun's surface is approximately 5,500 degrees Celsius (9,932 degrees Fahrenheit)."
What is the width of a football field ?,"""160 feet"" | ""53.3 yards""","The width of a football field, including the two sidelines, is 160 feet.",The width of a football field typically ranges from 50 yards (45.72 meters) to 100 yards (91.44 meters) depending on the level of play. ,The width of a football field is approximately 53.3 yards or about 48.8 meters.,"The width of a football field is approximately 53.3 yards (49 meters). This applies to American football; the dimensions may vary in other types of football, like soccer or rugby."
What is the world 's population ?,"""7.8 billion""","As of 2021, the world's population is approximately 7.8 billion.","As of 2021, the world's population is approximately 7.9 billion.",The estimated world population as of 2021 is approximately 7.9 billion.,"As of October 2021, the world's population is estimated to be about 7.9 billion."
What is vertigo ?,"""sensation"", ""spinning"", ""dizziness""","Vertigo is a sensation of feeling off balance and experiencing a sensation of spinning. This feeling may be barely noticeable, or it may be so severe that one has difficulty keeping balance which often associated with problems in the inner ear or brain.:","Vertigo is a sensation of feeling off balance, often characterized by a feeling of spinning, tilting, swaying, unsteadiness, or having a pulled in one direction. It is typically caused by issues with the inner ear or brain.","Vertigo is a sensation of feeling off balance, often accompanied by a feeling of spinning. It is commonly caused by problems in the inner ear or brain. It's not a disease, but rather a symptom of various conditions. ","Vertigo is a sensation of feeling off balance. It is often associated with a feeling of spinning (either yourself spinning or the environment around you spinning), dizziness, or loss of balance. It is most commonly due to a problem with the inner ear but can also be related to vision issues or problems in the brain. Conditions like Meniere's disease, vestibular neuritis, or labyrinthitis can cause vertigo."
What is viscosity ?,"""measure"" | ""measurement"", ""fluid"", ""resistance"", ""flow""","""Viscosity"" is a measure of a fluid's resistance to flow. It describes the internal friction of a moving fluid and is essentially a measure of its thickness. A fluid with high viscosity resists motion because its molecular makeup gives it a lot of internal friction, while a fluid with low viscosity flows easily because its molecular makeup results in very little friction when it is in motion.",Viscosity is a measure of a fluid's resistance to flow.,"Viscosity is a measure of a fluid's resistance to flow. It describes the internal friction of a moving fluid. A fluid with large viscosity resists motion because its molecular makeup gives it a lot of internal friction, while a fluid with low viscosity flows easily.","Viscosity is a measure of a fluid's resistance to flow. It describes the internal friction of a moving fluid. A fluid with large viscosity resists motion because its molecular makeup gives it a lot of internal friction. A fluid with low viscosity flows easily because its molecular makeup results in very little friction when it is in motion. It can be thought of as the measure of a fluid's 'thickness'; for example, honey has a higher viscosity than water."
What kind of dog was Toto in the Wizard of Oz ?,"""Cairn Terrier""",The type of dog that Toto was in the Wizard of Oz is a Cairn Terrier.,Toto in the Wizard of Oz was a Cairn Terrier.,Toto in the Wizard of Oz was a Cairn Terrier.,Toto was a Cairn Terrier.
What kind of gas is in a fluorescent bulb ?,"""mercury"", ""vapor""","A fluorescent bulb is filled with a low-pressure mercury-vapor gas. When it is electrified, the mercury atoms produce ultraviolet light that causes the phosphor coating on the inside of the bulb to glow or fluoresce.:",The kind of gas in a fluorescent bulb is typically a mixture of Argon and Mercury vapor.,A fluorescent bulb is filled with a mixture of argon and mercury vapor gas.,A fluorescent bulb usually contains a low pressure mercury-vapor gas.
What metal has the highest melting point ?,"""Tungsten""",The metal with the highest melting point is Tungsten.,Tungsten has the highest melting point of any metal.,The metal with the highest melting point is Tungsten.,"Tungsten has the highest melting point of any metal, at 3422 degrees Celsius."
What mineral helps prevent osteoporosis ?,"""Calcium""",The mineral that helps prevent osteoporosis is Calcium.,Calcium helps prevent osteoporosis.,Calcium helps prevent osteoporosis.,Calcium
What monastery was raided by Vikings in the late eighth century ?,"""Lindisfarne""",The Lindisfarne monastery was raided by Vikings in the late eighth century.,The monastery that was raided by Vikings in the late eighth century was the Lindisfarne Monastery.,The Lindisfarne Monastery was raided by Vikings in the late eighth century.,The monastery of Lindisfarne was raided by Vikings in the late eighth century.
What peninsula is Spain part of ?,"""Iberian Peninsula""",Spain is part of the Iberian Peninsula.,Spain is part of the Iberian Peninsula.,Spain is part of the Iberian Peninsula.,Spain is part of the Iberian Peninsula.
What person 's head is on a dime ?,"""Franklin D. Roosevelt""",The person's head on a dime is Franklin D. Roosevelt. ,The person's head on a dime is Franklin D. Roosevelt.,The head that is on a dime is Franklin D. Roosevelt's.,Franklin D. Roosevelt's head is on a dime.
What planet has the strongest magnetic field of all the planets ?,"""Jupiter""",Jupiter has the strongest magnetic field of all the planets in our solar system.,The planet with the strongest magnetic field of all the planets is Jupiter.,Jupiter has the strongest magnetic field of all the planets.,Jupiter has the strongest magnetic field of all the planets.
What planet is known as the `` red '' planet ?,"""Mars""","The planet known as the ""red"" planet is Mars.","The planet known as the ""red"" planet is Mars.","The planet known as the ""red"" planet is Mars.",Mars
What position did Willie Davis play in baseball ?,"""Center fielder""",Willie Davis played the position of Center fielder in baseball.,Willie Davis was an outfielder in baseball.,Willie Davis played the position of Center Fielder in baseball.,Willie Davis played as a Center fielder in baseball.
What precious stone is a form of pure carbon ?,"""Diamond""",Diamond is the precious stone that is a form of pure carbon.:,The precious stone that is a form of pure carbon is Diamond.,"Diamond, a precious stone, is a form of pure carbon.",Diamond
What primary colors do you mix to make orange ?,"""Red and yellow""",You mix red and yellow primary colors to make orange.,The primary colors that you mix to make orange are red and yellow.,"To make orange, you mix the primary colors red and yellow.",Red and yellow.
What province is Montreal in ?,"""Quebec""",Montreal is in the province of Quebec.,Montreal is in the province of Quebec.,Montreal is in the province of Quebec.,Montreal is in the province of Quebec.
"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?","""Red River""","The river that flows between Fargo, North Dakota and Moorhead, Minnesota is the Red River.","The river that flows between Fargo, North Dakota and Moorhead, Minnesota is the Red River.","The Red River flows between Fargo, North Dakota and Moorhead, Minnesota.","The river that flows between Fargo, North Dakota and Moorhead, Minnesota is the Red River."
What river in the US is known as the Big Muddy ?,"""Mississippi River""",The river in the US known as the Big Muddy is the Mississippi River.,The river in the US known as the Big Muddy is the Mississippi River.,The river in the US known as the Big Muddy is the Missouri River. ,The Mississippi River
"What river runs through Rowe , Italy ?","""Tiber River""","There is no Rowe in Italy, but the river that runs through Rome, Italy is the Tiber River.","The river that runs through Rome, Italy is the Tiber River.","The Serchio River runs through Rowe, Italy.",There seems to be a misunderstanding as there is no place called Rowe in Italy. Please provide the correct information.
What soviet seaport is on the Black Sea ?,"""Sevastopol""","The Soviet seaport on the Black Sea is Sevastopol, which is now part of Ukraine.",The Soviet seaport on the Black Sea is Sevastopol.,The soviet seaport on the Black Sea is Sevastopol.,"The Soviet seaport on the Black Sea is Sevastopol. However, after the dissolution of the Soviet Union, it is now part of Ukraine and is the primary base for the Russian Navy's Black Sea Fleet."
What state did the Battle of Bighorn take place in ?,"""Montana""",The Battle of Bighorn took place in the state of Montana.,The Battle of Bighorn took place in the state of Montana.,"The Battle of Bighorn took place in the state of Montana, USA.",The Battle of Bighorn took place in the state of Montana.
What state has the least amount of rain per year ?,"""Nevada""",Nevada is the state that has the least amount of rain per year.,Nevada has the least amount of rain per year.,Nevada has the least amount of rain per year.,Nevada has the least amount of rain per year.
What state is the geographic center of the lower 48 states ?,"""Kansas""",The geographic center of the lower 48 states is in the state of Kansas.,The geographic center of the lower 48 states is in the state of Kansas.,The geographic center of the lower 48 states in the United States is in the state of Kansas. ,The geographic center of the lower 48 states is located in Kansas.
What strait separates North America from Asia ?,"""Bering Strait""",The strait that separates North America from Asia is the Bering Strait. ,The Bering Strait separates North America from Asia.,The Bering Strait separates North America from Asia.,The Bering Strait separates North America from Asia.
What type of currency is used in Australia ?,"""Australian Dollar""",The type of currency used in Australia is the Australian Dollar.,The type of currency used in Australia is the Australian Dollar.,The type of currency used in Australia is the Australian Dollar.,The currency used in Australia is the Australian Dollar (AUD).
What type of polymer is used for bulletproof vests ?,"""Kevlar""",The type of polymer used for bulletproof vests is Kevlar.,"Kevlar, a type of aramid polymer, is used for bulletproof vests.",The type of polymer used for bulletproof vests is Kevlar.,"Kevlar, a type of polyamide polymer, is used for bulletproof vests."
What was FDR 's dog 's name ?,"""FDR's dog's name was Fala.""",FDR's dog's name was Fala.,FDR's dog's name was Fala.,FDR's dog's name was Fala.,Fala
What was J.F.K. 's wife 's name ?,"""Jacqueline Kennedy Onassis""",J.F.K.'s wife's name was Jacqueline Kennedy Onassis.,J.F.K.'s wife's name was Jacqueline Kennedy Onassis.,J.F.K.'s wife's name was Jacqueline Kennedy.,Jacqueline Kennedy Onassis
What was President Lyndon Johnson 's reform program called ?,"""Great Society""",President Lyndon Johnson's reform program was called the Great Society.,"President Lyndon Johnson's reform program was called ""The Great Society"".","President Lyndon Johnson's reform program was called the ""Great Society"".","President Lyndon Johnson's reform program was called the ""Great Society""."
What was W.C. Fields ' real name ?,"""William Claude Dukenfield""",W.C. Fields' real name was William Claude Dukenfield.,W.C. Fields' real name was William Claude Dukenfield.,W.C. Fields' real name was William Claude Dukenfield.,William Claude Dukenfield
What was the first satellite to go into space ?,"""Sputnik 1"" | ""Sputnik""",The first satellite to go into space was Sputnik.,The first satellite to go into space was Sputnik 1 by the Soviet Union in October 1957.,"The first satellite to go into space was Sputnik 1, launched by the Soviet Union on October 4, 1957.","The first satellite to go into space was Sputnik 1, launched by the Soviet Union on October 4, 1957."
What was the last year that the Chicago Cubs won the World Series ?,"""2016"" | ""1908""",The last year the Chicago Cubs won the World Series was in 2016. ,The last year that the Chicago Cubs won the World Series was in 2016.,The last year that the Chicago Cubs won the World Series was 2016.,The Chicago Cubs last won the World Series in 2016.
What was the most popular toy in 1957 ?,"""Frisbee""",The most popular toy in 1957 was the Frisbee.,The most popular toy in 1957 was the Frisbee.,"The most popular toy in 1957 was the Frisbee, first produced by the company Wham-O.",The most popular toy in 1957 was the Frisbee.
What was the name of the first U.S. satellite sent into space ?,"""Explorer 1""",The name of the first U.S. satellite sent into space was Explorer 1.,The name of the first U.S. satellite sent into space was Explorer 1.,The first U.S. satellite sent into space was named Explorer 1.,The name of the first U.S. satellite sent into space was Explorer 1.
What was the name of the plane Lindbergh flew solo across the Atlantic ?,"""The Spirit of St. Louis""",The name of the plane Lindbergh flew solo across the Atlantic was the Spirit of St. Louis.,The name of the plane Lindbergh flew solo across the Atlantic was The Spirit of St. Louis.,"The name of the plane Lindbergh flew solo across the Atlantic was the ""Spirit of St. Louis.""","The plane was named ""The Spirit of St. Louis""."
What were Christopher Columbus ' three ships ?,"""Nina"", ""Pinta"", ""Santa Maria""","Christopher Columbus' three ships were the Santa Maria, the Pinta, and the Ni??a.","Christopher Columbus' three ships were the Santa Maria, the Pinta, and the Nina.","Christopher Columbus' three ships were the Santa Maria, the Pinta, and the Nina.","The three ships of Christopher Columbus were the Ni??a, the Pinta, and the Santa Maria."
What year did Canada join the United Nations ?,"""1945""",Canada joined the United Nations in the year 1945.,Canada joined the United Nations in the year 1945.,Canada joined the United Nations in the year 1945.,Canada joined the United Nations in 1945.
What year did Mussolini seize power in Italy ?,"""1922""",Mussolini seized power in Italy in the year 1922.,Mussolini seized power in Italy in the year 1922.,Mussolini seized power in Italy in the year 1922.,1922
What year did Oklahoma become a state ?,"""1907""",Oklahoma became a state in the year 1907.,Oklahoma became a state in the year 1907.,Oklahoma became a state in the year 1907.,Oklahoma became a state in the year 1907.
What year did WWII begin ?,"""1939""",World War II began in the year 1939. ,WWII began in the year 1939.,World War II began in the year 1939.,1939
What year did the Andy Griffith show begin ?,"""1960""",The Andy Griffith show began in the year 1960.,The Andy Griffith show began in the year 1960.,The Andy Griffith Show began in the year 1960.,The Andy Griffith Show began in 1960.
What year did the Milwaukee Braves become the Atlanta Braves ?,"""1966""",The Milwaukee Braves became the Atlanta Braves in 1966.,The Milwaukee Braves became the Atlanta Braves in the year 1966.,The Milwaukee Braves became the Atlanta Braves in the year 1966.,The Milwaukee Braves became the Atlanta Braves in 1966.
What year did the NFL go on strike ?,"""1982""",The NFL went on strike in the year 1982.,The NFL went on strike in the year 1982.,The NFL went on strike in the year 1982.,"The NFL players have gone on strike several times, specifically in the years 1968, 1970, 1974, 1982, and 1987."
What year did the Titanic sink ?,"""1912""",The Titanic sank in the year 1912.,The Titanic sank in the year 1912.,"The Titanic sank in the year 1912, specifically on the morning of April 15.","The Titanic sank on April 15, 1912."
What year did the Titanic start on its journey ?,"""1912""",The Titanic started on its journey in the year 1912.,"The Titanic started on its journey on April 10, 1912.",The Titanic started its journey in the year 1912.,"The Titanic started its journey on April 10, 1912."
What year did the U.S. buy Alaska ?,"""1867""",The U.S. bought Alaska in 1867.,The U.S. bought Alaska in the year 1867.,The U.S. bought Alaska in the year 1867.,The U.S. bought Alaska in 1867.
What year did the United States abolish the draft ?,"""1973""",The United States abolished the draft in 1973.,The United States abolished the draft in the year 1973.,The United States abolished the draft in the year 1973.,"The United States technically has not abolished the draft. Mandatory conscription ended in 1973, but all men aged 18?�?25 are required to register with the Selective Service System to be called up in the event that the draft is reinstated."
What year was Mozart born ?,"""1756""",Mozart was born in the year 1756.,Mozart was born in the year 1756.,Mozart was born in the year 1756.,1756
What year was the Mona Lisa painted ?,"""1503""",The Mona Lisa was painted in 1503.,The Mona Lisa was painted in the year 1503.,The Mona Lisa was painted in the year 1503.,The Mona Lisa was painted around the year 1503.
When did Elvis Presley die ?,"""1977"", ""August 16""","Elvis Presley died on August 16, 1977.","Elvis Presley died on August 16, 1977.","Elvis Presley died on August 16, 1977.","Elvis Presley died on August 16, 1977."
When did Hawaii become a state ?,"""1959"", ""August 21""","Hawaii became a state on August 21, 1959.","Hawaii became a state on August 21, 1959.","Hawaii became a state on August 21, 1959.","Hawaii became a state on August 21, 1959."
When did Idaho become a state ?,"""1890"", ""July 3""","Idaho became a state on July 3, 1890.","Idaho became a state on July 3, 1890.","Idaho became a state on July 3, 1890.","Idaho became a state on July 3, 1890."
When did John F. Kennedy get elected as President ?,"""November 8"", ""1960""",John F. Kennedy got elected as President in 1960.,"John F. Kennedy was elected as President on November 8, 1960.",John F. Kennedy was elected as President in 1960.,"John F. Kennedy was elected as President on November 8, 1960."
When did North Carolina enter the union ?,"""1789"", ""November 21""","North Carolina entered the union on November 21, 1789.","North Carolina entered the union on November 21, 1789.","North Carolina entered the union on November 21, 1789.","North Carolina entered the union on November 21, 1789."
When did the Hindenberg crash ?,"""May 6"", ""1937""","The Hindenberg crashed on May 6, 1937. ","The Hindenberg crashed on May 6, 1937.","The Hindenberg crashed on May 6, 1937.","The Hindenburg crashed on May 6, 1937."
When is Father 's Day ?,"""thrid Sunday of June""",Father's Day is celebrated on the third Sunday of June each year.,Father's Day is on the third Sunday of June in the United States.,Father's Day is observed on the third Sunday in June in the United States and many other countries.,"Father's Day is celebrated on the third Sunday of June in many countries, including the United States, Canada, the United Kingdom, and others. However, it can vary in some countries. For example, in Australia, it is celebrated on the first Sunday in September."
When is St. Patrick 's Day ?,"""March 17""",St. Patrick's Day is on March 17th.,St. Patrick's Day is on March 17th.,St. Patrick's Day is celebrated on March 17.,St. Patrick's Day is on March 17th each year.
When is hurricane season in the Caribbean ?,"""June 1"", ""November 30""",The hurricane season in the Caribbean is from June 1 to November 30.,"The hurricane season in the Caribbean typically runs from June 1 to November 30, with the peak season from mid-August to late October.",The hurricane season in the Caribbean is from June 1st to November 30th.,Hurricane season in the Caribbean typically runs from June 1 to November 30.
When is the official first day of summer ?,"""June 20th"" | ""June 21st""",The official first day of summer is on June 20th or 21st depending on the year.,"The official first day of summer, according to the astronomical calendar, is on the summer solstice, which usually falls on June 21st.","The official first day of summer, often called the Summer Solstice, typically falls on June 20 or 21 in the Northern Hemisphere.","The official first day of summer varies depending on the country and its climate. However, in the United States, the first day of summer typically falls on June 20th or 21st. This is known as the Summer Solstice, which is the longest day of the year."
When is the summer solstice ?,"""June 21""",The summer solstice typically falls on June 21.,The summer solstice typically occurs on June 20th or 21st in the Northern Hemisphere.,The summer solstice typically occurs on June 20th or 21st.,The summer solstice usually occurs on June 21st in the Northern Hemisphere and December 21st in the Southern Hemisphere.
When was Abraham Lincoln born ?,"""February 12"", ""1809""","Abraham Lincoln was born on February 12, 1809.","Abraham Lincoln was born on February 12, 1809.","Abraham Lincoln was born on February 12, 1809.","Abraham Lincoln was born on February 12, 1809."
When was Algeria colonized ?,"""1830""",Algeria was colonized in 1830.,Algeria was colonized in 1830.,Algeria was colonized by France from 1830 until 1962.,Algeria was colonized by France in 1830.
When was Hiroshima bombed ?,"""August 6"", ""1945""","Hiroshima was bombed on August 6, 1945.","Hiroshima was bombed on August 6, 1945.","Hiroshima was bombed on August 6, 1945.","Hiroshima was bombed on August 6, 1945."
When was Lyndon B. Johnson born ?,"""August 27"", ""1908""","Lyndon B. Johnson was born on August 27, 1908.","Lyndon B. Johnson was born on August 27, 1908.","Lyndon B. Johnson was born on August 27, 1908.","Lyndon B. Johnson was born on August 27, 1908."
When was President Kennedy shot ?,"""1963"", ""November 22""","President Kennedy was shot on November 22, 1963.","President Kennedy was shot on November 22, 1963. ","President Kennedy was shot on November 22, 1963.","President Kennedy was shot on November 22, 1963."
When was Rosa Parks born ?,"""1913"", ""February 4""",Rosa Parks was born on 4th February 1913.,"Rosa Parks was born on February 4, 1913.","Rosa Parks was born on February 4, 1913.","Rosa Parks was born on February 4, 1913."
